,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,odds
0,Anders Albertson,49303,72.263,-0.956,-0.751,-0.121,-1.71,-0.837,0.753,,,,,
1,Tyson Alexander,33408,70.982,-0.141,-0.18,0.339,-0.245,-0.403,0.104,,,,,366667.0
2,Byeong Hun An,33948,70.601,0.405,0.028,0.569,0.571,-0.026,-0.167,4.33,0.33,4.33,0.33,
3,Ryan Armour,19803,71.116,-0.385,-0.16,-0.255,-0.419,-0.004,0.034,,,,,
4,Aaron Baddeley,22371,70.198,0.52,-0.04,0.382,0.184,-0.158,0.336,,,,,63000.0
5,Sangmoon Bae,28259,,,,,,,,,,,,
6,Briny Baird,20498,,,,,,,,,,,,
7,Erik Barnes,34374,70.873,0.541,0.092,0.149,0.508,0.266,0.034,,,,,
8,Ricky Barnes,24846,,,,,,,,,,,,
9,Daniel Berger,40026,,,,,,,,4.8,0.8,4.8,0.8,
10,Christiaan Bezuidenhout,45522,71.044,-0.509,-0.343,0.573,-0.316,-0.545,-0.193,4.0,1.0,4.0,1.0,46750.0
11,Zac Blair,40058,71.147,-0.046,-0.275,0.428,0.104,-0.049,-0.15,,,,,
12,Jonas Blixt,27895,,,,,,,,-1.0,1.0,-1.0,1.0,
13,Keegan Bradley,33141,70.242,0.846,0.286,-0.011,0.616,0.341,0.23,3.33,1.0,3.33,1.0,5875.0
14,Joseph Bramlett,34255,70.375,0.588,0.305,0.161,0.886,0.421,-0.298,,,,,366667.0
15,Ryan Brehm,28420,73.115,-1.326,-0.219,-0.644,-1.478,-0.615,0.151,,,,,366667.0
16,Scott Brown,29479,73.11,-2.453,-0.091,-0.494,-1.572,-0.987,-0.881,,,,,
17,Wesley Bryan,48084,,,,,,,,8.0,0.0,8.0,0.0,
18,Hayden Buckley,55708,70.201,0.508,0.88,-0.251,0.583,-0.047,-0.074,,,,,60250.0
19,Bronson Burgoon,29268,,,,,,,,,,,,
20,Sam Burns,47504,70.959,0.605,0.23,0.01,-0.118,-0.358,0.723,5.0,0.0,5.0,0.0,200000.0
21,Jonathan Byrd,24925,71.916,-1.923,0.151,-0.018,-0.878,-1.011,-1.045,,,,,
22,Patrick Cantlay,35450,69.83,1.773,0.717,0.29,1.173,0.167,0.599,1.0,0.6,1.0,0.6,3100.0
23,Bud Cauley,34021,,,,,,,,,,,,
24,Greg Chalmers,20593,,,,,,,,,,,,
25,Cameron Champ,52372,72.314,-2.132,0.052,-0.987,-1.975,-1.04,-0.157,-1.67,1.0,-1.67,1.0,
